ID,Name,Affiliation,Rite,City,State,Street_Address,Website_URL,Missing_Data
696e72c2d180e9a720281b5a,St. Peter the Rock Community,Ordinariate,Latin,Arlington,TX,1408 North Davis Drive,MISSING,Website
696e72c2d180e9a720281b5d,St. Timothy Church,Ordinariate,Latin,Fort Worth,TX,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b5f,St. Margaret Community,Ordinariate,Latin,Katy,TX,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b61,St. Gregory the Great Community,Ordinariate,Latin,Mobile,AL,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b65,St. John Henry Newman Church (Santa Ana),Ordinariate,Latin,Santa Ana,CA,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b67,San Agustin Church,Ordinariate,Latin,Pinecrest,FL,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b68,St. James Mission,Ordinariate,Latin,St. Augustine,FL,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b69,Our Lady of Mount Carmel Community (Savannah),Ordinariate,Latin,Savannah,GA,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b6a,St. Joseph of Arimathea Community,Ordinariate,Latin,Indianapolis,IN,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b6d,St. Timothy Community,Ordinariate,Latin,Catonsville,MD,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b6f,St. Gregory the Great Church (Boston),Ordinariate,Latin,Chestnut Hill,MA,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b70,St. Bede the Venerable Society,Ordinariate,Latin,Collegeville,MN,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b71,St. George Church,Ordinariate,Latin,Republic,MO,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b72,St. Barnabas Church,Ordinariate,Latin,Omaha,NE,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b73,St. Alban Fellowship,Ordinariate,Latin,Henrietta,NY,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b74,Our Lady of Good Counsel Community,Ordinariate,Latin,Jacksonville,NC,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b75,Our Lady of Mount Carmel Church (Philadelphia),Ordinariate,Latin,Bridgeport,PA,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b76,St. Michael the Archangel Church,Ordinariate,Latin,Philadelphia,PA,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b77,St. Thomas More Parish,Ordinariate,Latin,Scranton,PA,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b78,Corpus Christi Community,Ordinariate,Latin,Charleston,SC,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b79,St. Anselm Community,Ordinariate,Latin,Greenville,SC,MISSING,MISSING,Address & Website
696e72c2d180e9a720281b7a,St. John Fisher Community,Ordinariate,Latin,Potomac Falls,VA,MISSING,MISSING,Address & Website
696e731bd180e9a720281b8c,Immaculate Conception Church,SSPX,Latin,Post Falls,ID,495 Lincoln Street,MISSING,Website
696e731bd180e9a720281b8e,Our Lady Help of Christians Church,SSPX,Latin,San Jose,CA,1565 S. White Road,MISSING,Website
696e731bd180e9a720281b91,Our Lady of the Sun Church,SSPX,Latin,El Paso,TX,MISSING,MISSING,Address & Website
696e8541f0ca480527def047,St. George Byzantine Catholic Church,Eastern Catholic,Byzantine,Aliquippa,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def048,St. Mary Byzantine Catholic Church,Eastern Catholic,Byzantine,Ambridge,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def049,St. John the Baptist Byzantine Catholic Church,Eastern Catholic,Byzantine,Uniontown,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def04c,St. Nicholas of Myra Byzantine Catholic Church,Eastern Catholic,Byzantine,Greensburg,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def04d,St. John the Baptist Byzantine Catholic Church (Mingo Junction),Eastern Catholic,Byzantine,Mingo Junction,OH,MISSING,MISSING,Address & Website
696e8541f0ca480527def04e,Holy Protection of the Mother of God Byzantine Catholic Church,Eastern Catholic,Byzantine,Morgantown,WV,MISSING,MISSING,Address & Website
696e8541f0ca480527def04f,Assumption of the Mother of God Byzantine Catholic Church,Eastern Catholic,Byzantine,Weirton,WV,MISSING,MISSING,Address & Website
696e8541f0ca480527def050,St. Nicholas Ukrainian Catholic Church,Eastern Catholic,Ukrainian,Philadelphia,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def051,St. John the Baptist Ukrainian Catholic Church,Eastern Catholic,Ukrainian,Whippany,NJ,MISSING,MISSING,Address & Website
696e8541f0ca480527def052,St. Josaphat Ukrainian Catholic Church,Eastern Catholic,Ukrainian,Bethlehem,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def053,Sts. Cyril and Methodius Ukrainian Catholic Church,Eastern Catholic,Ukrainian,Olyphant,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def054,St. Anne Ukrainian Catholic Church,Eastern Catholic,Ukrainian,Warrington,PA,MISSING,MISSING,Address & Website
696e8541f0ca480527def05c,St. Ann Melkite Catholic Church,Eastern Catholic,Melkite,Woodland Park,NJ,MISSING,MISSING,Address & Website
696e8541f0ca480527def05d,Virgin Mary Melkite Catholic Church,Eastern Catholic,Melkite,Brooklyn,NY,MISSING,MISSING,Address & Website
696e8541f0ca480527def05e,St. John Chrysostom Melkite Catholic Church,Eastern Catholic,Melkite,Atlanta,GA,MISSING,MISSING,Address & Website
696e8541f0ca480527def05f,St. George Melkite Catholic Church,Eastern Catholic,Melkite,Birmingham,AL,MISSING,MISSING,Address & Website
696e8541f0ca480527def060,St. John of the Desert Melkite Catholic Church,Eastern Catholic,Melkite,Phoenix,AZ,MISSING,MISSING,Address & Website
696e8541f0ca480527def061,St. Anne Melkite Co-Cathedral,Eastern Catholic,Melkite,North Hollywood,CA,MISSING,MISSING,Address & Website
696e8541f0ca480527def062,Holy Cross Melkite Catholic Church,Eastern Catholic,Melkite,Placentia,CA,MISSING,MISSING,Address & Website
696e8541f0ca480527def063,St. George Melkite Catholic Church (Sacramento),Eastern Catholic,Melkite,Sacramento,CA,MISSING,MISSING,Address & Website
696e8541f0ca480527def064,Our Lady of Redemption Melkite Catholic Church,Eastern Catholic,Melkite,Warren,MI,MISSING,MISSING,Address & Website
696e8541f0ca480527def065,Our Lady of the Cedars Melkite Catholic Church,Eastern Catholic,Melkite,Manchester,NH,MISSING,MISSING,Address & Website
696e8541f0ca480527def066,St. Joseph Chaldean Catholic Church,Eastern Catholic,Chaldean,Troy,MI,MISSING,MISSING,Address & Website
696e8541f0ca480527def067,Sacred Heart Chaldean Catholic Church,Eastern Catholic,Chaldean,Detroit,MI,MISSING,MISSING,Address & Website
696e8541f0ca480527def068,St. Thomas the Apostle Chaldean Catholic Church,Eastern Catholic,Chaldean,West Bloomfield,MI,MISSING,MISSING,Address & Website
